iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
"1","Sendinblue","Dissociate a dedicated IP to the child","POST","https://api.sendinblue.com/v3/reseller/children/veniam elit in/ips/dissociate","Unauthorized","401","82","50",,,,"0","0","0","0"
"1","Sendinblue","Get all sender domains for a specific child account","GET","https://api.sendinblue.com/v3/reseller/children/veniam elit in/domains","Unauthorized","401","79","50",,,,"0","0","0","0"
"1","Sendinblue","Create a domain for a child account","POST","https://api.sendinblue.com/v3/reseller/children/veniam elit in/domains","Unauthorized","401","79","50",,,,"0","0","0","0"
"1","Sendinblue","Update the sender domain of reseller's child based on the childIdentifier and domainName passed","PUT","https://api.sendinblue.com/v3/reseller/children/veniam elit in/domains/veniam elit in","Unauthorized","401","76","50",,,,"0","0","0","0"
"1","Sendinblue","Delete the sender domain of the reseller child based on the childIdentifier and domainName passed","DELETE","https://api.sendinblue.com/v3/reseller/children/veniam elit in/domains/veniam elit in","Unauthorized","401","79","50",,,,"0","0","0","0"
"1","Sendinblue","Get a child account's details","GET","https://api.sendinblue.com/v3/reseller/children/veniam elit in","Unauthorized","401","85","50",,,,"0","0","0","0"
"1","Sendinblue","Update info of reseller's child based on the child identifier supplied","PUT","https://api.sendinblue.com/v3/reseller/children/veniam elit in","Unauthorized","401","82","50",,,,"0","0","0","0"
"1","Sendinblue","Delete a single reseller child based on the child identifier supplied","DELETE","https://api.sendinblue.com/v3/reseller/children/veniam elit in","Unauthorized","401","78","50",,,,"0","0","0","0"
"1","Sendinblue","Update info of reseller's child account status based on the identifier supplied","PUT","https://api.sendinblue.com/v3/reseller/children/veniam elit in/accountStatus","Unauthorized","401","80","50",,,,"0","0","0","0"
"1","Sendinblue","Get the status of a reseller's child account creation, whether it is successfully created (exists) or not based on the childIdentifier supplied","GET","https://api.sendinblue.com/v3/reseller/children/veniam elit in/accountCreationStatus","Unauthorized","401","77","50",,,,"0","0","0","0"
"1","Sendinblue","Get session token to access Sendinblue (SSO)","GET","https://api.sendinblue.com/v3/reseller/children/veniam elit in/auth","Unauthorized","401","77","50",,,,"0","0","0","0"
"1","Sendinblue","Get the list of all children accounts","GET","https://api.sendinblue.com/v3/reseller/children?limit=10&offset=0","Unauthorized","401","76","50",,,,"0","0","0","0"
